注文いいですか,注文
注文したいです,注文
注文します,注文
注文受け付けてますか,注文
注文してもいいですか,注文
注文は大丈夫ですか,注文
注文したいのですがかまいませんか,注文
頼んでいいですか,注文
頼みたいです,注文
頼みます,注文
頼んでもいいですか,注文
頼んで大丈夫ですか,注文
頼みたいのですがかまいませんか,注文
注文よかか,注文
注文したかばい,注文
注文する,注文
注文受け付けとーと,注文
注文したっちゃよかか,注文
注文は大丈夫と,注文
注文したかっちゃけどかまわんか,注文
頼んでよかか,注文
頼む,注文
頼んだっちゃよかか,注文
頼んで大丈夫と,注文
頼みたかっちゃけどかまわんか,注文
注文ええか,注文
注文受け付けちょるか,注文
注文してもええか,注文
注文したいんじゃがかまわんか,注文
頼んでええか,注文
頼んでもええか,注文
頼みたいんじゃがかまわんか,注文
注文ちゃ大丈夫やけ,注文
注文いいかしら,注文
注文は大丈夫かしら,注文
注文いいっすか,注文
頼んでいいやけ,注文
頼んでもいいやけ,注文
頼んで大丈夫やけ,注文
頼んでいいかしら,注文
二人前お願いします,注文
ラーメンお願いします,注文
注文お願いします,注文
パフェ一つお願いします,注文
餃子３皿お願いします,注文
プリン一つください,注文
五人前ください,注文
オレンジジュースください,注文
カレーとうどんください,注文
メニューください,注文
お会計お願いします,会計
お会計したいです,会計
会計してください,会計
会計してほしいです,会計
お会計で,会計
お支払いします,会計
支払いをしたいです,会計
支払いです,会計
支払います,会計
勘定お願いします,会計
お勘定したいです,会計
お勘定してください,会計
お勘定してほしいです,会計
勘定で,会計
おあいそです,会計
おあいそします,会計
おあいそで,会計
おあいそでお願いします,会計
いくらですか,会計
おいくらですか,会計
いくらでしたか,会計
会計したかばい,会計
会計してほしか,会計
支払いばしたかばい,会計
支払う,会計
勘定したかばい,会計
お勘定してほしか,会計
おあいそばい,会計
いくらと,会計
おいくらと,会計
いくらやったか,会計
なんぼか,会計
なんぼじゃったか,会計
なんぼですか,会計
会計してくれんけ,会計
勘定してくれんけ,会計
いくらけ,会計
なんぼやったか,会計
いくらかしら,会計
なんぼですか,会計
精算お願いします,会計
精算してほしい,会計
精算で,会計
精算してほしか,会計
精算で頼む,会計
レジお願いします,会計
レジしてほしい,会計
レジで,会計
レジしてほしか,会計
レジで頼む,会計
また来たい,感想
次も来たい,感想
また来たくなる,感想
来てよかった,感想
二度と来ない,感想
来たくない,感想
もう来ない,感想
来たくなかった,感想
おいしいです,感想
おいしい,感想
おいしかった,感想
うまい,感想
うまかった,感想
うますぎる,感想
おいしくない,感想
おいしくなかった,感想
うまくない,感想
うまくなかった,感想
まずい,感想
まずすぎる,感想
まずかった,感想
好みではない,感想
好きじゃない,感想
嫌いだ,感想
苦手だ,感想
あまい,感想
すっぱい,感想
しょっぱい,感想
にがい,感想
からい,感想
冷たい,感想
熱い,感想
かたい,感想
ちょうどいい,感想
好き,感想
お気に入りだ,感想
きれい,感想
かわいい,感想
すごい,感想
かっこいい,感想
ださい,感想
きもちわるい,感想
きたない,感想
下品だ,感想
上品だ,感想
楽しみ,感想
面白い,感想
つまらない,感想
飽きた,感想
帰りたい,感想
